id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31128313;1.192741939;47972;2166.16;1.13;1.16;FIRST_HALF_GOALS_25;1882.69;Under 2,5 goal;8855.03465078766;51.9581651684449
31128313;1.192741939;47973;124.95;7.6;8.8;FIRST_HALF_GOALS_25;516.06;Over 2,5 goal;8855.03465078766;51.9581651684449
31128313;1.192741940;30246;134.18;1.74;1.8;BOTH_TEAMS_TO_SCORE;37.19;Sì;10733.8436379872;2339.43
31128313;1.192741940;30247;32.88;2.24;2.36;BOTH_TEAMS_TO_SCORE;197.43;No;10733.8436379872;2339.43
31128313;1.192741941;66183;1181.48;1.84;1.85;MATCH_ODDS;205.4;Valencia;81784.5809831737;252816.96
31128313;1.192741941;59044;33.6;4.9;5;MATCH_ODDS;816.71;Espanyol;81784.5809831737;252816.96
31128313;1.192741941;58805;463.84;3.95;4;MATCH_ODDS;3512.41;Pareggio;81784.5809831737;252816.96
31128313;1.192741942;5851482;355.76;3.3;3.5;FIRST_HALF_GOALS_05;241.6;Under 0,5 goal;9336.84762570986;636
31128313;1.192741942;5851483;604;1.4;1.43;FIRST_HALF_GOALS_05;285;Over 0,5 goal;9336.84762570986;636
31128313;1.192741943;5851482;252.26;15;17;OVER_UNDER_05;59;Under 0,5 goal;28632.2760222121;2658.43
31128313;1.192741943;5851483;4640.31;1.06;1.07;OVER_UNDER_05;3536.36;Over 0,5 goal;28632.2760222121;2658.43
31128313;1.192741944;1221385;1683.32;1.52;1.55;FIRST_HALF_GOALS_15;384.16;Under 1,5 goal;10284.3098833021;16.9528757456104
31128313;1.192741944;1221386;119.95;2.82;2.9;FIRST_HALF_GOALS_15;361.85;Over 1,5 goal;10284.3098833021;16.9528757456104
31128313;1.192741945;2542448;13587.6;1.01;1.03;OVER_UNDER_65;1127.14;Under 6,5 goal;17424.8220737789;1203.49424514828
31128313;1.192741945;2542449;41.67;34;65;OVER_UNDER_65;49.98;Over 6,5 goal;17424.8220737789;1203.49424514828
31128313;1.192741946;66183;27;2.5;2.6;HALF_TIME;29;Valencia;4944.83186114449;122.6
31128313;1.192741946;59044;89;4.9;5.4;HALF_TIME;238.7;Espanyol;4944.83186114449;122.6
31128313;1.192741946;58805;208.5;2.38;2.48;HALF_TIME;27;Pareggio;4944.83186114449;122.6
31128313;1.192741947;1485567;3683.9;1.05;1.08;OVER_UNDER_55;3780.28;Under 5,5 goal;12781.5111525048;834.91
31128313;1.192741947;1485568;108.21;14.5;18;OVER_UNDER_55;53.5;Over 5,5 goal;12781.5111525048;834.91
31128313;1.192741948;1;110.88;15.5;16.5;CORRECT_SCORE;66.55;0 - 0;379801.420260238;1354.54
31128313;1.192741948;4;22.22;17;19;CORRECT_SCORE;100;0 - 1;379801.420260238;1354.54
31128313;1.192741948;9;27;32;40;CORRECT_SCORE;63;0 - 2;379801.420260238;1354.54
31128313;1.192741948;16;18;85;-1;CORRECT_SCORE;-1;0 - 3;379801.420260238;1354.54
31128313;1.192741948;2;145;9.2;9.8;CORRECT_SCORE;75;1 - 0;379801.420260238;1354.54
31128313;1.192741948;3;61.44;8;8.8;CORRECT_SCORE;152.5;1 - 1;379801.420260238;1354.54
31128313;1.192741948;8;100;16;18.5;CORRECT_SCORE;32;1 - 2;379801.420260238;1354.54
