id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31127633;1.192454851;3;46.62;13.5;15;CORRECT_SCORE;158.5;1 - 1;508339.550714464;3137.04
31127633;1.192454851;8;69;40;46;CORRECT_SCORE;16;1 - 2;508339.550714464;3137.04
31127633;1.192454851;15;28;95;220;CORRECT_SCORE;31;1 - 3;508339.550714464;3137.04
31127633;1.192454851;5;192.4;7.4;8;CORRECT_SCORE;100;2 - 0;508339.550714464;3137.04
31127633;1.192454851;6;20;9.8;10.5;CORRECT_SCORE;270.3;2 - 1;508339.550714464;3137.04
31127633;1.192454851;7;109;27;32;CORRECT_SCORE;100;2 - 2;508339.550714464;3137.04
31127633;1.192454851;14;32;95;170;CORRECT_SCORE;32.5;2 - 3;508339.550714464;3137.04
31127633;1.192454851;10;62;9.2;9.8;CORRECT_SCORE;125.5;3 - 0;508339.550714464;3137.04
31127633;1.192454851;11;100;12.5;13.5;CORRECT_SCORE;228;3 - 1;508339.550714464;3137.04
31127633;1.192454851;12;74.5;29;36;CORRECT_SCORE;139;3 - 2;508339.550714464;3137.04
31127633;1.192454851;13;24;95;180;CORRECT_SCORE;34;3 - 3;508339.550714464;3137.04
31127633;1.192454851;9063254;100;4.3;4.5;CORRECT_SCORE;92.5;Qualsiasi altro risultato a favore della squadra in Casa;508339.550714464;3137.04
31127633;1.192454851;9063255;17.5;95;260;CORRECT_SCORE;24;Qualsiasi altro risultato a favore della squadra in Trasferta;508339.550714464;3137.04
31127633;1.192454851;9063256;13.2;25;-1;CORRECT_SCORE;-1;Qualsiasi altro Pareggio;508339.550714464;3137.04
31127633;1.192454852;47972;72;2.64;2.72;OVER_UNDER_25;56.5;Under 2,5 goal;4398.51432404046;5233.62
31127633;1.192454852;47973;130.55;1.58;1.61;OVER_UNDER_25;151.06;Over 2,5 goal;4398.51432404046;5233.62
31127633;1.192454853;1222347;442.5;1.26;1.29;OVER_UNDER_45;1169.31;Under 4,5 goal;4954.79101531369;72.92
31127633;1.192454853;1222346;186.73;4.5;4.9;OVER_UNDER_45;113.79;Over 4,5 goal;4954.79101531369;72.92
31127633;1.192454855;1221385;14.66;5.5;6.4;OVER_UNDER_15;69.29;Under 1,5 goal;4521.88649397211;244.48
31127633;1.192454855;1221386;340.39;1.19;1.22;OVER_UNDER_15;58.06;Over 1,5 goal;4521.88649397211;244.48
31127633;1.192454856;1222344;64.32;1.64;1.68;OVER_UNDER_35;452.39;Under 3,5 goal;4188.39813666009;1529.47
31127633;1.192454856;1222345;153.35;2.48;2.56;OVER_UNDER_35;29;Over 3,5 goal;4188.39813666009;1529.47
31127923;1.192453818;47972;3505;1.11;1.14;FIRST_HALF_GOALS_25;2302.32;Under 2,5 goal;10973.211527117;0.02
31127923;1.192453818;47973;132;8.4;10.5;FIRST_HALF_GOALS_25;606.03;Over 2,5 goal;10973.211527117;0.02
31127923;1.192453819;30246;117.23;2.02;2.12;BOTH_TEAMS_TO_SCORE;232.09;Sì;13006.0259030374;212.87
31127923;1.192453819;30247;131.15;1.9;1.99;BOTH_TEAMS_TO_SCORE;241;No;13006.0259030374;212.87
31127923;1.192453820;2255452;532.46;6.8;7.4;MATCH_ODDS;908.18;Granada;52113.5035979122;19858.2
31127923;1.192453820;41433;538.5;1.6;1.62;MATCH_ODDS;1590.7;Atletico Madrid;52113.5035979122;19858.2
31127923;1.192453820;58805;797.9;4.2;4.3;MATCH_ODDS;63;Pareggio;52113.5035979122;19858.2
31127923;1.192453821;5851482;154.68;3.1;3.25;FIRST_HALF_GOALS_05;12;Under 0,5 goal;9618.2323243396;61.18
31127923;1.192453821;5851483;562.08;1.44;1.47;FIRST_HALF_GOALS_05;90;Over 0,5 goal;9618.2323243396;61.18
31127923;1.192453822;5851482;105.36;12;15.5;OVER_UNDER_05;686.7;Under 0,5 goal;57554.2648323566;36
31127923;1.192453822;5851483;3044.04;1.07;1.09;OVER_UNDER_05;580;Over 0,5 goal;57554.2648323566;36
31127923;1.192453823;1221385;501;1.47;1.51;FIRST_HALF_GOALS_15;2240.98;Under 1,5 goal;12892.2632510005;0.04
