id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31139229;1.192685360;9063255;193.99;3.05;3.2;CORRECT_SCORE;89.5;Qualsiasi altro risultato a favore della squadra in Trasferta;522362.694373925;1231.68
31139229;1.192685360;9063256;17.59;14.5;-1;CORRECT_SCORE;-1;Qualsiasi altro Pareggio;522362.694373925;1231.68
31139229;1.192685361;47972;21;2.98;3.1;OVER_UNDER_25;457;Under 2,5 goal;31211.5523871971;846.23
31139229;1.192685361;47973;1581.31;1.47;1.5;OVER_UNDER_25;12;Over 2,5 goal;31211.5523871971;846.23
31139229;1.192685362;1222347;645.08;1.33;1.36;OVER_UNDER_45;30;Under 4,5 goal;29162.7527647691;170.73
31139229;1.192685362;1222346;773.95;3.7;4;OVER_UNDER_45;107;Over 4,5 goal;29162.7527647691;170.73
31139229;1.192685364;1221385;86.19;7;7.6;OVER_UNDER_15;56.5;Under 1,5 goal;24354.4723606651;192.56
31139229;1.192685364;1221386;1484.4;1.15;1.17;OVER_UNDER_15;882.67;Over 1,5 goal;24354.4723606651;192.56
31139229;1.192685365;1222344;240.29;1.79;1.83;OVER_UNDER_35;58.32;Under 3,5 goal;25666.1260387568;3061.02003027245
31139229;1.192685365;1222345;48.42;2.2;2.28;OVER_UNDER_35;188.65;Over 3,5 goal;25666.1260387568;3061.02003027245
31130440;1.192713444;47972;685.5;1.12;1.17;FIRST_HALF_GOALS_25;313.5;Under 2,5 goal;1102.9;4.2
31130440;1.192713444;47973;20.5;6.8;9.2;FIRST_HALF_GOALS_25;83.4;Over 2,5 goal;1102.9;4.2
31130440;1.192713445;30246;146.05;2.7;2.76;BOTH_TEAMS_TO_SCORE;21.26;Sì;2171.37305634343;892.36
31130440;1.192713445;30247;37.38;1.57;1.59;BOTH_TEAMS_TO_SCORE;501.01;No;2171.37305634343;892.36
31130440;1.192713446;2506293;1625.7;1.26;1.28;MATCH_ODDS;214.26;Sporting;16796.3894334699;6456.92001513623
31130440;1.192713446;505982;15.5;16.5;18.5;MATCH_ODDS;103;Portimonense;16796.3894334699;6456.92001513623
31130440;1.192713446;58805;61.28;6.2;6.8;MATCH_ODDS;400;Pareggio;16796.3894334699;6456.92001513623
31130440;1.192713447;5851482;169.5;3.1;3.55;FIRST_HALF_GOALS_05;94;Under 0,5 goal;722;0
31130440;1.192713447;5851483;339.5;1.35;1.52;FIRST_HALF_GOALS_05;119;Over 0,5 goal;722;0
31130440;1.192713448;5851482;11.94;14.5;18;OVER_UNDER_05;44;Under 0,5 goal;11340.6577687612;10
