id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31145084;1.192969404;47972;2505.58;1.11;1.14;FIRST_HALF_GOALS_25;1301.11;Under 2,5 goal;5819.45533350519;0
31145084;1.192969404;47973;47;8.4;10;FIRST_HALF_GOALS_25;119.5;Over 2,5 goal;5819.45533350519;0
31145084;1.192969405;30246;48.24;1.75;1.82;BOTH_TEAMS_TO_SCORE;49.62;Sì;5324.89419579249;381.92
31145084;1.192969405;30247;23.32;2.22;2.34;BOTH_TEAMS_TO_SCORE;253.58;No;5324.89419579249;381.92
31145084;1.192969406;48784;58.21;2.52;2.58;MATCH_ODDS;545.14;Gil Vicente;24038.4689363728;2068.73
31145084;1.192969406;50085;390;3.05;3.2;MATCH_ODDS;324.55;Guimaraes;24038.4689363728;2068.73
31145084;1.192969406;58805;26.48;3.45;3.55;MATCH_ODDS;594;Pareggio;24038.4689363728;2068.73
31145084;1.192969407;5851482;131;3.1;3.3;FIRST_HALF_GOALS_05;59;Under 0,5 goal;4396.91577971983;70.7
31145084;1.192969407;5851483;541.65;1.43;1.48;FIRST_HALF_GOALS_05;568.89;Over 0,5 goal;4396.91577971983;70.7
31145084;1.192969408;5851482;131;13;15.5;OVER_UNDER_05;251;Under 0,5 goal;30734.3979933271;33
31145084;1.192969408;5851483;1372.94;1.07;1.09;OVER_UNDER_05;2817.79;Over 0,5 goal;30734.3979933271;33
31145084;1.192969409;1221385;446;1.45;1.5;FIRST_HALF_GOALS_15;247;Under 1,5 goal;4106.2917538394;0
31145084;1.192969409;1221386;123.5;3;3.25;FIRST_HALF_GOALS_15;396.48;Over 1,5 goal;4106.2917538394;0
31145084;1.192969410;2542449;32.45;34;160;OVER_UNDER_65;50;Over 6,5 goal;2398.685;0
31145084;1.192969411;48784;611.5;3.1;3.4;HALF_TIME;19;Gil Vicente;5799.26479078222;0
31145084;1.192969411;50085;74;3.65;4.2;HALF_TIME;488;Guimaraes;5799.26479078222;0
31145084;1.192969411;58805;126.5;2.24;2.36;HALF_TIME;26;Pareggio;5799.26479078222;0
31145084;1.192969412;1485567;1618.32;1.05;1.07;OVER_UNDER_55;2458.28;Under 5,5 goal;14945.7990533044;0
31145084;1.192969412;1485568;24.46;16.5;21;OVER_UNDER_55;80.92;Over 5,5 goal;14945.7990533044;0
31145084;1.192969413;1;29;13;14.5;CORRECT_SCORE;82;0 - 0;372481.532900539;0
31145084;1.192969413;4;34;12;13;CORRECT_SCORE;168.5;0 - 1;372481.532900539;0
31145084;1.192969413;9;37;19;21;CORRECT_SCORE;142;0 - 2;372481.532900539;0
31145084;1.192969413;16;29.5;44;50;CORRECT_SCORE;35;0 - 3;372481.532900539;0
31145084;1.192969413;2;128.28;10;11;CORRECT_SCORE;25;1 - 0;372481.532900539;0
31145084;1.192969413;3;124.5;7.2;7.6;CORRECT_SCORE;34.5;1 - 1;372481.532900539;0
31145084;1.192969413;8;67;12;13;CORRECT_SCORE;24;1 - 2;372481.532900539;0
31145084;1.192969413;15;59;27;34;CORRECT_SCORE;100.5;1 - 3;372481.532900539;0
31145084;1.192969413;5;51;15;16;CORRECT_SCORE;32;2 - 0;372481.532900539;0
31145084;1.192969413;6;131.97;10.5;11.5;CORRECT_SCORE;44;2 - 1;372481.532900539;0
31145084;1.192969413;7;75.5;15.5;17;CORRECT_SCORE;44;2 - 2;372481.532900539;0
31145084;1.192969413;14;26;40;44;CORRECT_SCORE;14;2 - 3;372481.532900539;0
31145084;1.192969413;10;47.5;32;38;CORRECT_SCORE;116;3 - 0;372481.532900539;0
31145084;1.192969413;11;31;24;26;CORRECT_SCORE;32;3 - 1;372481.532900539;0
31145084;1.192969413;12;21.5;34;38;CORRECT_SCORE;44;3 - 2;372481.532900539;0
