id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31134152;1.192600006;47972;1477.5;1.08;1.12;FIRST_HALF_GOALS_25;337.5;Under 2,5 goal;1944.15;6.7
31134152;1.192600006;47973;14.5;9.2;13.5;FIRST_HALF_GOALS_25;114.65;Over 2,5 goal;1944.15;6.7
31134152;1.192600007;30246;1316.46;2.06;2.18;BOTH_TEAMS_TO_SCORE;144.14;Sì;14715.0739446002;637.33
31134152;1.192600007;30247;86.76;1.85;1.94;BOTH_TEAMS_TO_SCORE;82.5;No;14715.0739446002;637.33
31134152;1.192600008;18567;371.2;2.04;2.06;MATCH_ODDS;1751.1;Brighton;62532.431509465;62845.58
31134152;1.192600008;78864;518.79;4.4;4.5;MATCH_ODDS;1487.78;Brentford;62532.431509465;62845.58
31134152;1.192600008;58805;1842.71;3.5;3.55;MATCH_ODDS;1027.31;Pareggio;62532.431509465;62845.58
31134152;1.192600009;5851482;80;2.48;3.15;FIRST_HALF_GOALS_05;199;Under 0,5 goal;820.5;0
31134152;1.192600009;5851483;423.5;1.47;1.67;FIRST_HALF_GOALS_05;118;Over 0,5 goal;820.5;0
31134152;1.192600010;5851482;17.7;10;11;OVER_UNDER_05;172.05;Under 0,5 goal;13425.0948989822;0
31134152;1.192600010;5851483;1720.51;1.1;1.11;OVER_UNDER_05;159.5;Over 0,5 goal;13425.0948989822;0
31134152;1.192600011;1221385;406;1.34;1.42;FIRST_HALF_GOALS_15;118;Under 1,5 goal;732.5;0
31134152;1.192600011;1221386;90.5;3.2;4.2;FIRST_HALF_GOALS_15;118;Over 1,5 goal;732.5;0
31134152;1.192600012;2542449;16;55;290;OVER_UNDER_65;15;Over 6,5 goal;3125.39110310299;0
31134152;1.192600013;18567;23;2.78;2.92;HALF_TIME;199;Brighton;4494.2445887221;189.14
31134152;1.192600013;78864;29;5.1;5.7;HALF_TIME;224;Brentford;4494.2445887221;189.14
31134152;1.192600013;58805;27;2.12;2.22;HALF_TIME;198;Pareggio;4494.2445887221;189.14
31134152;1.192600014;1485567;4314.4;1.02;1.05;OVER_UNDER_55;1235.62;Under 5,5 goal;11207.5716404625;0
31134152;1.192600014;1485568;61.4;21;46;OVER_UNDER_55;18;Over 5,5 goal;11207.5716404625;0
31134152;1.192600015;1;49;9.8;11;CORRECT_SCORE;353.5;0 - 0;270994.375567555;41.56
31134152;1.192600015;4;98.5;12;13.5;CORRECT_SCORE;183;0 - 1;270994.375567555;41.56
31134152;1.192600015;9;33;27;30;CORRECT_SCORE;71;0 - 2;270994.375567555;41.56
31134152;1.192600015;16;12;85;110;CORRECT_SCORE;38.5;0 - 3;270994.375567555;41.56
31134152;1.192600015;2;183.52;7;7.8;CORRECT_SCORE;277.5;1 - 0;270994.375567555;41.56
31134152;1.192600015;3;38;7.2;7.8;CORRECT_SCORE;139.5;1 - 1;270994.375567555;41.56
31134152;1.192600015;8;14.5;17.5;19;CORRECT_SCORE;139;1 - 2;270994.375567555;41.56
31134152;1.192600015;15;15;48;65;CORRECT_SCORE;57.5;1 - 3;270994.375567555;41.56
31134152;1.192600015;5;154.29;10;11.5;CORRECT_SCORE;289;2 - 0;270994.375567555;41.56
31134152;1.192600015;6;157.33;10;11.5;CORRECT_SCORE;244;2 - 1;270994.375567555;41.56
31134152;1.192600015;7;105.5;20;24;CORRECT_SCORE;154;2 - 2;270994.375567555;41.56
31134152;1.192600015;14;13.5;65;80;CORRECT_SCORE;57.5;2 - 3;270994.375567555;41.56
