id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31128335;1.192944463;47972;1008;1.12;1.19;FIRST_HALF_GOALS_25;121;Under 2,5 goal;1423;0
31128335;1.192944463;47973;173;6.6;9.2;FIRST_HALF_GOALS_25;121;Over 2,5 goal;1423;0
31128335;1.192944464;30246;63.92;1.62;1.73;BOTH_TEAMS_TO_SCORE;60.13;Sì;388.74776296596;24
31128335;1.192944464;30247;82.36;2.36;2.62;BOTH_TEAMS_TO_SCORE;74.18;No;388.74776296596;24
31128335;1.192944465;44793;13;2.78;2.82;MATCH_ODDS;733.67;Lens;35447.5396243085;16812.07
31128335;1.192944465;44799;301.5;2.74;2.78;MATCH_ODDS;28.84;Rennes;35447.5396243085;16812.07
31128335;1.192944465;58805;245.31;3.55;3.6;MATCH_ODDS;22;Pareggio;35447.5396243085;16812.07
31128335;1.192944466;5851482;61;3;3.9;FIRST_HALF_GOALS_05;119.5;Under 0,5 goal;1859.51;4.98
31128335;1.192944466;5851483;351.5;1.34;1.48;FIRST_HALF_GOALS_05;1317.01;Over 0,5 goal;1859.51;4.98
31128335;1.192944467;5851482;18.77;14.5;17.5;OVER_UNDER_05;26;Under 0,5 goal;20371.0919602815;48
31128335;1.192944467;5851483;1249.25;1.06;1.08;OVER_UNDER_05;1425.24;Over 0,5 goal;20371.0919602815;48
31128335;1.192944468;1221385;270;1.45;1.58;FIRST_HALF_GOALS_15;119.5;Under 1,5 goal;1066;0
31128335;1.192944468;1221386;76.5;2.56;3.15;FIRST_HALF_GOALS_15;600;Over 1,5 goal;1066;0
31128335;1.192944469;2542448;6583.99;1.01;1.03;OVER_UNDER_65;1087;Under 6,5 goal;9242.06511258456;22.68
31128335;1.192944469;2542449;40.93;34;85;OVER_UNDER_65;22;Over 6,5 goal;9242.06511258456;22.68
31128335;1.192944470;44793;598;3.2;3.95;HALF_TIME;535;Lens;8019.7613648066;0
31128335;1.192944470;44799;642.5;3.05;3.75;HALF_TIME;292.5;Rennes;8019.7613648066;0
31128335;1.192944470;58805;1058.5;2.22;2.5;HALF_TIME;342.5;Pareggio;8019.7613648066;0
31128335;1.192944471;1485567;240.9;1.06;1.08;OVER_UNDER_55;1708;Under 5,5 goal;10606.2268720953;0
31128335;1.192944471;1485568;136.64;13.5;18;OVER_UNDER_55;14.19;Over 5,5 goal;10606.2268720953;0
31128335;1.192944472;1;32.44;13.5;19;CORRECT_SCORE;248.5;0 - 0;60124.883439058;78.08
31128335;1.192944472;4;229.7;10.5;15.5;CORRECT_SCORE;254;0 - 1;60124.883439058;78.08
31128335;1.192944472;9;28.19;15.5;22;CORRECT_SCORE;245;0 - 2;60124.883439058;78.08
31128335;1.192944472;16;40.08;5.6;46;CORRECT_SCORE;127;0 - 3;60124.883439058;78.08
31128335;1.192944472;2;16.49;11;15;CORRECT_SCORE;12;1 - 0;60124.883439058;78.08
31128335;1.192944472;3;65.92;7;8.6;CORRECT_SCORE;21.5;1 - 1;60124.883439058;78.08
31128335;1.192944472;8;42.28;10.5;14.5;CORRECT_SCORE;387;1 - 2;60124.883439058;78.08
31128335;1.192944472;15;12;21;32;CORRECT_SCORE;198.5;1 - 3;60124.883439058;78.08
31128335;1.192944472;5;28.69;15;22;CORRECT_SCORE;232.5;2 - 0;60124.883439058;78.08
31128335;1.192944472;6;243.52;10;14;CORRECT_SCORE;392;2 - 1;60124.883439058;78.08
31128335;1.192944472;7;35.51;12.5;17.5;CORRECT_SCORE;249;2 - 2;60124.883439058;78.08
31128335;1.192944472;14;41.67;5.5;42;CORRECT_SCORE;135.5;2 - 3;60124.883439058;78.08
31128335;1.192944472;10;40.08;5.6;48;CORRECT_SCORE;143.5;3 - 0;60124.883439058;78.08
31128335;1.192944472;11;12;21;32;CORRECT_SCORE;190.5;3 - 1;60124.883439058;78.08
31128335;1.192944472;12;41.67;5.5;42;CORRECT_SCORE;142;3 - 2;60124.883439058;78.08
31128335;1.192944472;13;34.94;5.9;85;CORRECT_SCORE;76.5;3 - 3;60124.883439058;78.08
31128335;1.192944472;9063254;136;15.5;23;CORRECT_SCORE;239;Qualsiasi altro risultato a favore della squadra in Casa;60124.883439058;78.08
31128335;1.192944472;9063255;27.49;15.5;22;CORRECT_SCORE;214;Qualsiasi altro risultato a favore della squadra in Trasferta;60124.883439058;78.08
31128335;1.192944472;9063256;32.16;6.2;630;CORRECT_SCORE;9.5;Qualsiasi altro Pareggio;60124.883439058;78.08
31128335;1.192944473;47972;262.68;2.12;2.22;OVER_UNDER_25;521.76;Under 2,5 goal;5209.1166718261;102.01
31128335;1.192944473;47973;124;1.83;1.88;OVER_UNDER_25;148;Over 2,5 goal;5209.1166718261;102.01
31128335;1.192944474;1222347;755.43;1.16;1.2;OVER_UNDER_45;1309.4;Under 4,5 goal;5496.15748299998;0
31128335;1.192944474;1222346;48;6.2;7;OVER_UNDER_45;38.5;Over 4,5 goal;5496.15748299998;0
31128335;1.192944476;1221385;150.57;4.3;4.8;OVER_UNDER_15;56.5;Under 1,5 goal;6275.70276815329;16
31128335;1.192944476;1221386;687.35;1.26;1.3;OVER_UNDER_15;209;Over 1,5 goal;6275.70276815329;16
31128335;1.192944477;1222344;228.91;1.43;1.48;OVER_UNDER_35;120;Under 3,5 goal;4688.20627034606;0
31128335;1.192944477;1222345;219.51;3.05;3.35;OVER_UNDER_35;208.21;Over 3,5 goal;4688.20627034606;0
31139588;1.192944445;47972;2196;1.16;1.23;FIRST_HALF_GOALS_25;156;Under 2,5 goal;2746.5;0
31139588;1.192944445;47973;238.5;5.6;7.4;FIRST_HALF_GOALS_25;156;Over 2,5 goal;2746.5;0
31139588;1.192944446;30246;91.41;1.91;1.99;BOTH_TEAMS_TO_SCORE;87.5;Sì;7468.88903522824;1209.45
31139588;1.192944446;30247;649.01;2;2.1;BOTH_TEAMS_TO_SCORE;83.14;No;7468.88903522824;1209.45
31139588;1.192944447;2426;3444.67;1.4;1.41;MATCH_ODDS;1535.02;Real Madrid;123092.755920307;63299.24
31139588;1.192944447;66183;51.81;9.4;9.6;MATCH_ODDS;279.8;Valencia;123092.755920307;63299.24
31139588;1.192944447;58805;652.5;5.4;5.5;MATCH_ODDS;802.03;Pareggio;123092.755920307;63299.24
31139588;1.192944448;5851482;62.5;3.5;4.5;FIRST_HALF_GOALS_05;213.5;Under 0,5 goal;1099.5;0
31139588;1.192944448;5851483;664.5;1.28;1.41;FIRST_HALF_GOALS_05;156;Over 0,5 goal;1099.5;0
31139588;1.192944449;5851482;23;19;25;OVER_UNDER_05;22;Under 0,5 goal;25602.2306377254;20
31139588;1.192944449;5851483;5004.85;1.04;1.06;OVER_UNDER_05;3933.47;Over 0,5 goal;25602.2306377254;20
31139588;1.192944450;1221385;284;1.55;1.75;FIRST_HALF_GOALS_15;1144.5;Under 1,5 goal;2368;0
31139588;1.192944450;1221386;167.5;2.26;2.74;FIRST_HALF_GOALS_15;772;Over 1,5 goal;2368;0
