id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31115972;1.192345735;47972;1488.3;1.22;1.25;FIRST_HALF_GOALS_25;235.92;Under 2,5 goal;6797.82014713803;0.04
31115972;1.192345735;47973;58.98;5;5.4;FIRST_HALF_GOALS_25;60;Over 2,5 goal;6797.82014713803;0.04
31115972;1.192345736;30246;241.01;2.1;2.2;BOTH_TEAMS_TO_SCORE;24.93;Sì;2216.81070919559;127.58
31115972;1.192345736;30247;29.95;1.83;1.91;BOTH_TEAMS_TO_SCORE;528.98;No;2216.81070919559;127.58
31115972;1.192345737;3954225;16;15.5;17.5;MATCH_ODDS;172;RKC Waalwijk;30800.2901965207;7698.74
31115972;1.192345737;48451;1464.02;1.22;1.24;MATCH_ODDS;1541.33;PSV;30800.2901965207;7698.74
31115972;1.192345737;58805;348.35;7.6;8.4;MATCH_ODDS;141.5;Pareggio;30800.2901965207;7698.74
31115972;1.192345738;5851482;29.09;4.3;4.7;FIRST_HALF_GOALS_05;118;Under 0,5 goal;5482.70639304792;2
31115972;1.192345738;5851483;871.69;1.27;1.3;FIRST_HALF_GOALS_05;40;Over 0,5 goal;5482.70639304792;2
31115972;1.192345739;5851482;22;26;36;OVER_UNDER_05;97.04;Under 0,5 goal;22191.1691648082;3.5
31115972;1.192345739;5851483;1574.25;1.03;1.04;OVER_UNDER_05;551.92;Over 0,5 goal;22191.1691648082;3.5
31115972;1.192345740;1221385;105.34;1.79;1.84;FIRST_HALF_GOALS_15;118;Under 1,5 goal;2984.58778470299;0.08
31115972;1.192345740;1221386;99.6;2.18;2.26;FIRST_HALF_GOALS_15;47;Over 1,5 goal;2984.58778470299;0.08
31115972;1.192345741;2542448;111.41;1.05;1.07;OVER_UNDER_65;1749.79;Under 6,5 goal;12228.530936053;60
31115972;1.192345741;2542449;35.12;16;23;OVER_UNDER_65;35.07;Over 6,5 goal;12228.530936053;60
31115972;1.192345742;3954225;32;10;13.5;HALF_TIME;62.5;RKC Waalwijk;764.5;0
31115972;1.192345742;48451;196.5;1.6;1.67;HALF_TIME;118;PSV;764.5;0
31115972;1.192345742;58805;79.5;3.1;3.7;HALF_TIME;273.5;Pareggio;764.5;0
31115972;1.192345743;1485567;289.06;1.13;1.16;OVER_UNDER_55;583.4;Under 5,5 goal;6597.63842497909;62.5
31115972;1.192345743;1485568;18.09;7.4;8.6;OVER_UNDER_55;19;Over 5,5 goal;6597.63842497909;62.5
31115972;1.192345744;1;23.5;27;36;CORRECT_SCORE;34.5;0 - 0;85018.7338498323;25.1
31115972;1.192345744;4;190.63;10;11.5;CORRECT_SCORE;45;0 - 1;85018.7338498323;25.1
31115972;1.192345744;9;35.5;7.6;8.6;CORRECT_SCORE;167.5;0 - 2;85018.7338498323;25.1
31115972;1.192345744;16;31;8.6;9.6;CORRECT_SCORE;115;0 - 3;85018.7338498323;25.1
31115972;1.192345744;2;20.51;12;60;CORRECT_SCORE;18;1 - 0;85018.7338498323;25.1
31115972;1.192345744;3;15;16;18;CORRECT_SCORE;27.5;1 - 1;85018.7338498323;25.1
31115972;1.192345744;8;33.38;10.5;12;CORRECT_SCORE;114;1 - 2;85018.7338498323;25.1
31115972;1.192345744;15;30.95;12;13.5;CORRECT_SCORE;51.5;1 - 3;85018.7338498323;25.1
31115972;1.192345744;5;38.64;13.5;190;CORRECT_SCORE;19;2 - 0;85018.7338498323;25.1
31115972;1.192345744;6;13.23;12.5;70;CORRECT_SCORE;80.5;2 - 1;85018.7338498323;25.1
31115972;1.192345744;7;48.5;28;42;CORRECT_SCORE;26;2 - 2;85018.7338498323;25.1
31115972;1.192345744;14;17.83;11;42;CORRECT_SCORE;27.5;2 - 3;85018.7338498323;25.1
31115972;1.192345744;10;16;110;730;CORRECT_SCORE;4;3 - 0;85018.7338498323;25.1
31115972;1.192345744;11;38.64;13.5;280;CORRECT_SCORE;6;3 - 1;85018.7338498323;25.1
31115972;1.192345744;12;38.64;13.5;190;CORRECT_SCORE;7.5;3 - 2;85018.7338498323;25.1
31115972;1.192345744;13;38.64;13.5;210;CORRECT_SCORE;7;3 - 3;85018.7338498323;25.1
31115972;1.192345744;9063254;17.5;100;330;CORRECT_SCORE;10;Qualsiasi altro risultato a favore della squadra in Casa;85018.7338498323;25.1
31115972;1.192345744;9063255;24.25;3.3;3.55;CORRECT_SCORE;333;Qualsiasi altro risultato a favore della squadra in Trasferta;85018.7338498323;25.1
