exchangeId,ts,back,lay,backDiff,layDiff,home,away,runnerName,eventName,eventId,marketName
31019080_47972#FIRST_HALF_GOALS_25,2021-10-26T16:29:28,1.04,1.07,-0.04,-0.09,0,0,"Under 2,5 goal",FC Noah - FC Ararat Yerevan,31019080,FIRST_HALF_GOALS_25
31019080_47972#FIRST_HALF_GOALS_25,2021-10-26T16:30:28,1.03,1.05,-0.06,-0.1,0,0,"Under 2,5 goal",FC Noah - FC Ararat Yerevan,31019080,FIRST_HALF_GOALS_25
31019080_47973#FIRST_HALF_GOALS_25,2021-10-26T16:29:28,15.0,23,14.4,4.0,0,0,"Over 2,5 goal",FC Noah - FC Ararat Yerevan,31019080,FIRST_HALF_GOALS_25
31019080_47973#FIRST_HALF_GOALS_25,2021-10-26T16:30:28,19.5,38,29.4,8.5,0,0,"Over 2,5 goal",FC Noah - FC Ararat Yerevan,31019080,FIRST_HALF_GOALS_25
